original_tweet,cleaned_tweet,sentiment
Dari habis sahur sampe jam 10. Sibayik udah nete 4x. Skg rasanya lemas tak terkira \xf0\x9f\xa4\xa2',dari habis sahur sampai jam 10. si bayi sudah nete 4x. sekarang rasanya lemas tak terkira ',negative
USER Gak kak emak mah gak demen ama yang sipit wkwk',pengguna tidak kak emak adalah tidak suka sama yang sipit wkwk',negative
"RT USER: Kelakuan homok jaman now, ngentot aja sambil live di Blued #gayvid #gvid #lokalhangat URL","rt user: kelakuan homo jaman now, ngentot saja sambil live di blued #gayvid #gvid #lokalhangat uniform resource locator",negative
"USER Ga kak, gua bukan orang jawa maaf yak :(; ; gua orang palembang soalnya, kakak aja deh yg belajar aksara jawa. Atau kalak mau belajar budaya palembang?","pengguna tidak kak, gue bukan orang jawa maaf ya :(; ; gue orang palembang soalnya, kakak saja deh yang belajar aksara jawa. atau kelak mau belajar budaya palembang?",negative
Pegawai Guardian training lagi kek Mentang2 gue kek gembel cuman kaos sama Flat shoes nanya dijutekin bangsad emang males belinya juga kabur gua ke matahari',pegawai guardian training lagi kayak mentang mentang gue kayak gembel cuma kaos sama flat shoes bertanya dijutekin bangsat memang malas belinya juga kabur gue ke matahari',negative
\xe2\x80\x9dPara Bajingan yang telah melukai Lady harus menerima ganjaran seratus kali lipat!!\xe2\x80\x9d(sanji) ##HBD17thPelautJKT48',para bajingan yang telah melukai lady harus menerima ganjaran seratus kali lipat!!(sanji) ##hbd17thpelautjkt48',negative
ajakan menolak berita hoax dan sukseskan pilkada di wilayah kota keidri:,ajakan menolak berita hoaks dan sukseskan pilihan kepala daerah di wilayah kota keidri:,negative
USER USER Presiden RI Jokowi luarBiasa kerja nya tulus IHLAs untuk #RakyatB3rsamaJKW,pengguna pengguna presiden ri jokowi luar biasa kerja nya tulus ikhlas untuk #rakyatb3rsamajkw,negative
Edan emang goollnya fabiano!!',edan memang tujuannya fabiano!!',negative
GAPERNAH MENDALAMI AL-QURAN YA BANG??? PANTESAN MULUTNYA KAYA ORANG KAFIR BEJAT HINA farhatabbaslaw',tidak pernah mendalami al-quran ya bang??? pantas saja mulutnya kayak orang kafir bejat hina farhatabbaslaw',negative
"Sangat terlihat beda sekali Kewibawaannya ,; yg sangat berwibawa cuma gubernur Indonesia USER ; Massya Allah...","sangat terlihat beda sekali kewibawaannya ,; yang sangat berwibawa cuma gubernur indonesia pengguna ; masya allah...",negative
Anjir baru kali ini lihat orang bego mau debat pilkada. Kerjanya nyerang karakter. Shame on you mpok silvy and agus. #DebatFinalPilkadaJKT,anjir baru kali ini lihat orang bego mau debat pilkada. kerjanya menyerang karakter. kecewa on kamu empok silvy and agus. #debatfinalpilkadajkt,negative
"#GubernurZamanNow #GusIpulPuti2 #GanjarYasin1 #DjarotSihar2 #HasanAnton2 #KosterAce1 #NurdinSudirman3 #KarolinGidot2 RT USER: ""Keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,â?? tutur Djarot di hadapan peserta Rakercabsuâ?¦","#gubernurzamannow #gusipulputi2 #ganjaryasin1 #djarotsihar2 #hasananton2 #kosterace1 #nurdinsudirman3 #karolingidot2 rt user: ""keanekaragaman budaya, suku, agama, itulah sesungguhnya kekayaan kita,?? tutur djarot di hadapan peserta rakercabsu?",negative
"USER USER Apa iya Islam itu ga boleh dilokalisasi? Lha Kristen aja mas ada Nusantaranya mas, liat aja di Gereja di bandung ada yg pake gamelan dan ada yg khotbah pake bhs Sunda/Jawa, ada HKBP juga kurang Nusantara apa?'","pengguna pengguna apa iya islam itu tidak boleh dilokalisasi? lah kristen saja mas ada nusantaranya mas, lihat saja di gereja di bandung ada yang pakai gamelan dan ada yang khotbah pakai bahas sunda/jawa, ada huria kristen batak protestan juga kurang nusantara apa?'",negative
"Ciptakan Situasi Kamtibmas Menjelang Pilkada 2018, Kapolsek Konang Silaturahmi ke Tokoh Masyarakat","ciptakan situasi keamanan dan ketertiban masyarakat menjelang pilihan kepala daerah 2018, kepala kepolisian sektor konang silaturahmi ke tokoh masyarakat",negative
USER USER positif kok.\nse-positif respon masyarakat terhadap\n- CANGKUL impor\n- GARAM impor\n- BERAS impor\n- JAGUNG impor\n- TENAGA KERJA impor\n- ESEMKA impor\n\nURL,pengguna pengguna positif kok. se-positif respon masyarakat terhadap - cangkul impor - garam impor - beras impor - jagung impor - tenaga kerja impor - esemka impor uniform resource locator,negative
"USER USER USER USER Kata Sembahyang mengadopsi tradisi lokal pada masa kerjaan Hindu.\n\nIstilah\xc2\xa0sembahyang\xc2\xa0pun lahir dari tradisi ritus\xc2\xa0menyembahHyang (Yang Tunggal), sama dengan\xc2\xa0shalat menyembah All","pengguna pengguna pengguna pengguna kata sembahyang mengadopsi tradisi lokal pada masa pekerjaan hindu. istilahsembahyangpun lahir dari tradisi ritusmenyembahhyang (yang tunggal), sama denganshalat menyembah all",negative
KAU PENDIKAN TINGGI TAPI BODOH....GK ADA LARANG BAWA AGAMA..BIAR ORANG ISLAM YG DI BAYAR AHOK SADAR GK JADI MILIH AHOK GLA,kamu pendidikan tinggi tapi bodoh....gk ada larang bawa agama..biar orang islam yang di bayar ahok sadar tidak jadi memilih ahok gila,negative
"USER USER BTP the best ,,,abaikan kaum kampret otak micin ,,,'","pengguna pengguna ahok the best ,,,abaikan kaum kampret otak micin ,,,'",negative
"USER USER , si otak tempurung mah ga usah d ladenin. Smkn d lawan semakin Bloon dan Dungu. Dan kalo ga gitu dia ga makan. Hehe'","pengguna pengguna , sih otak tempurung adalah tidak usah di ladenin. semakin di lawan semakin belum dan dungu. dan kalau tidak begitu dia tidak makan. hehe'",negative
"USER Awaasss... Jgn sampe beritanya sampe ke akhi gerung! Ntar susah nyari kosakatany. klu bcr aja micingin mata, bibir monyong kesamping, suara keluar ky lg nhn kentut.. ""politik kotor skl jmn ini!"". Klu tahu brt ini.. Plng Sambil ky nhn ngeden..""dungu!"". \xf0\x9f\x98\x8b","pengguna awaasss... jangan sampai beritanya sampai ke saudara gerung! nanti susah mencari kosakatany. kalau bocor saja memicing mata, bibir monyong kesamping, suara keluar ky lagi nhn kentut.. ""politik kotor sekali zaman ini!"". kalau tahu brt ini.. pulang sambil ky nhn ngeden..""dungu!"".",negative
pinokio umur 3 taonan tuh. #2019GantiPresiden,pinokio umur 3 tahunan tuh. #2019gantipresiden,negative
"USER Cerita silat lae \xf0\x9f\x98\x80 semacam Kho Ping Hoo yang dari Indonesia, tapi Liang Ie Shen penulis dari China'","pengguna cerita silat lae semacam kho merah muda oh yang dari indonesia, tapi liang ie shen penulis dari china'",negative
RT USER benci sekali dgn Umat Islam,rt pengguna benci sekali dengan umat islam,negative
"USER USER USER ""Provokasi mayat, politisasi agama"" penyebab kekalahan pilkada DKI, beginilah cara cebong mendeskripsikan kekalahan junjungannya.; FYI ahog blm pernah ikut pemilihan apapun (kec jd wakil) dan dia bukanlah etnis mayorita","pengguna pengguna pengguna ""provokasi mayat, politisasi agama"" penyebab kekalahan pilihan kepala daerah dki, beginilah cara cebong mendeskripsikan kekalahan junjungannya.; for your information ahok belum pernah ikut pemilihan apapun (kec jadi wakil) dan dia bukanlah etnis mayoritas",negative
USER dari pada gua nete',pengguna dari pada gue nete',negative
USER Lol bani lowo',pengguna wkwk bani lowo',negative
"Takabur bisa lahir dari siapa saja. Penguasa, rakyat, ulama maupun cendikia. Bahkan iblis mahluq yg alim &amp; telah beribadah beratus2 th dilaknat krn hasud takabburnya. Apalagi hanya seorang ahli ilmu filsafat yg tdk failosof; ; Mari kita demo diri sendi","takabur bisa lahir dari siapa saja. penguasa, rakyat, ulama maupun cendikia. bahkan iblis makhluk yang alim &amp; telah beribadah beratus ratus tahun dilaknat karena hasud takabburnya. apalagi hanya seorang ahli ilmu filsafat yang tidak failosof; ; mari kita demo diri sendi",negative
"A orang yang suka ke konser-konser, sedikit boros.","a orang yang suka ke konser-konser, sedikit boros.",negative
[ SAMPAI KAPAN MAKAN RACUN ? ]; _; Banyak ulama yang mengatakan hukum rokok mubah dan ada jugaâ?¦,[ sampai kapan makan racun ? ]; _; banyak ulama yang mengatakan hukum rokok mubah dan ada juga?,negative
Susilo Bambang Yudhoyono Presiden RI ke 6 meminta Khofifah Emil untuk dekat dengan masyarakat . No 1 Bisa ! BaGusS #KhofifahEmilNomer1,susilo bambang yudhoyono presiden ri ke 6 meminta khofifah emil untuk dekat dengan masyarakat . no 1 bisa ! bagus #khofifahemilnomer1,negative
"USER udah biasa kali. Gue kpoper tapi kalo ngomonv sama temen2 gue, idol gua banci homo'","pengguna sudah biasa kali. gue penggemar korea pop tapi kalau mengomong sama teman teman gue, idol gue banci homo'",negative
Saya suka video USER URL Awal Kisah Perseteruan Haji Bolot &amp; Malih Tongtong',saya suka video pengguna uniform resource locator awal kisah perseteruan haji bolot &amp; malih tongtong',negative
"Budaya kafir bersungguh, klau hal2 islam tidak diendahkan...","budaya kafir bersungguh, kalau hal hal islam tidak diendahkan...",negative
"USER USER USER USER \xf0\x9f\x8e\xb6 la la la...hm hmm \xf0\x9f\x8e\xa7 ""Semua diam ,semua bisu""\n""Kita coba tanya sama rumput yg bergoyang"" \n\xe2\x99\xab\xe2\x99\xab\xe2\x99\xab\xe2\x99\xaa\xe2\x99\xaa\xe2\x99\xaa'","pengguna pengguna pengguna pengguna lah lah la...hm hem ""semua diam ,semua bisu"" ""kita coba tanya sama rumput yang bergoyang"" '",negative
"Apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada Allah. (QS. al-A\xe2\x80\x99raf: 200 dan Fushilat: 36).'","apabila setan membisikkan was-was kepadamu, mintalah perlindungan kepada allah. (qs. al-araf: 200 dan fushilat: 36).'",negative
USER USER USER USER USER USER USER Klw ente atheis..ngapain sibuk dgn agama orang...,pengguna pengguna pengguna pengguna pengguna pengguna pengguna kalau kamu atheis..ngapain sibuk dengan agama orang...,negative
Lengserkan Jokowi Bangsat!!,lengserkan jokowi bangsat!!,negative
USER Selamat hari kartini ; ; #2019GANTIPRESIDEN; #2019PRESIDENBARU,pengguna selamat hari kartini ; ; #2019gantipresiden; #2019presidenbaru,negative
"RT USER: Bajingan Homo!!!\nHati2 terhadap anak2 kita terutama di kamar mandi laki2, jgn biarkan sendiri! URL","rt user: bajingan homo!!! hati hati terhadap anak anak kita terutama di kamar mandi laki2, jangan biarkan sendiri! uniform resource locator",negative
USER Iya cocot',pengguna iya cocot',negative
USER karena budaya indonesia.,pengguna karena budaya indonesia.,negative
"USER Yang ngajarin solat'a ajah itu orang aseng dia hanya ingin memecah belah islam""","pengguna yang mengajarkan solat'a saja itu orang asing dia hanya ingin memecah belah islam""",negative
USER x || Lo ngomong aja kaga bener bangke',pengguna x || kamu berbicara saja tidak benar bangke',negative
USER USER Kita semua tidak pernah akan mempercayai yg negara Kita disuatu hari nanti akan dijajah oleh kerana terdapat kes2pembubaran sistem2 beraja dinegara Kita kini untuk menjadikan sebagai negara republik komunis padahal negara2 penjaja,pengguna pengguna kita semua tidak pernah akan memercayai yang negara kita di suatu hari nanti akan dijajah oleh ke ranah terdapat kasus kasus pembubaran sistem sistem beraja di negara kita kini untuk menjadikan sebagai negara republik komunis padahal negara negara penjaja,negative
tapi masih menikmati kebijakan yang dulu diusulkan PKI.. lha yo opo...,tapi masih menikmati kebijakan yang dulu diusulkan pki.. lah iya opo...,negative
Kalo seumpama orang cina di usir paksa dari indonesia gimana,kalau seumpama orang cina di usir paksa dari indonesia bagaimana,negative
USER bunda ngentot yuk',pengguna bunda ngentot yuk',negative
RT USER: china babi... china maling...\n#UsirChina https:\/\/t.co\/9y4HIWHJp2,rt user: cina babi... cina maling... #usirchina https:\/\/t.co\/9y4hiwhjp2,negative
"Bung Karno anti asing dan beliau dari Jawa, coba deh adain konsensus lebih banyak mana Jawa yang anti asing atau pro asing karena kebo*ohannya. \n\nKalau kami keliru kami tutup akun'","bung karno anti asing dan beliau dari jawa, coba deh adakan konsensus lebih banyak mana jawa yang anti asing atau pro asing karena kebo*ohannya. kalau kami keliru kami tutup akun'",negative
PROYEK KORUPSI REZIM SBY URL,proyek korupsi rezim susilo bambang yudhoyono uniform resource locator,negative
"USER Wajar saja, lihat saja tingkah bbrp petinggi negeri ini yg suka mencampur bhs indonesia dgn bhs asing setiap kali bicara'","pengguna wajar saja, lihat saja tingkah beberapa petinggi negeri ini yang suka mencampur bahas indonesia dengan bahas asing setiap kali bicara'",negative
AB: pribadi yg senang berkompetisi dalam hal yang baik dan positif,ab: pribadi yang senang berkompetisi dalam hal yang baik dan positif,negative
USER USER Terus menurut lo kitab suci agAma apa yg di bilang om USER ; ; #Mendadakkalap,pengguna pengguna terus menurut kamu kitab suci agama apa yang di bilang om pengguna ; ; #mendadakkalap,negative
USER Suka nutup mata. Kaga ditutup pun udah terlihat tertutup gara2 sipit /?',pengguna suka menutup mata. tidak ditutup pun sudah terlihat tertutup gara gara sipit /?',negative
"USER Sy sbg muslim tdk merasa pak USER menistakan kitab suci Alqur'an, krn dlm Alqur'an sndri ada bbrp suku kata yg smpai dtik ini blm diketahui mkna faktualnya olh umat islam, tp kami yakini kata tsb ada makna yg tersirat (fiksi) yg blm","pengguna saya sebagai muslim tidak merasa pak pengguna menistakan kitab suci alqur'an, karena dalam alqur'an sendiri ada beberapa suku kata yang sampai detik ini belum diketahui makna faktualnya oleh umat islam, tetapi kami yaitu kata tersebut ada makna yang tersirat (fiksi) yang belum",negative
USER eh kasar kau kampang',pengguna eh kasar kamu kampang',negative
"BENTAR LAGI GUA RILIS ALBUM THE ONTA'S WKWKWKWKWK""","bentar lagi gue rilis album the onta's wkwkwkwkwk""",negative
USER Ada cebong bang dia merasa paling benar',pengguna ada cebong bang dia merasa paling benar',negative
Najis banget gw ngetwit apa barusan wey',najis banget gue mentwit apa barusan wey',negative
Kamu transgender atau gmn anjing :( URL,kamu transgender atau bagaimana anjing :( uniform resource locator,negative
USER awas bintitan lu ngintipin titit kucing',pengguna awas bintitan kamu mengintip titit kucing',negative
"USER USER Bawel, baper, bolot, baik, bodor , gaje wkwk apa ya udah itu aja deh'","pengguna pengguna bawel, baper, bolot, baik, bodor , enggak jelas wkwk apa ya sudah itu saja deh'",negative
"USER USER USER USER Gue saranin gk perlu bnyk bacot maling ayat, langsung to the point aja lu jadi orang... Yg tdk sepaham lu teriakin aja kafir sesat, liberal, pemuja dukun, bla blaaa.. pasti hatimu puas dehh ..'","pengguna pengguna pengguna pengguna gue menyarankan tidak perlu banyak bacot maling ayat, langsung to the point saja kamu jadi orang... yang tidak sepaham kamu teriaki saja kafir sesat, liberal, pemuja dukun, bla blaaa.. pasti hatimu puas deh ..'",negative
Jgn salah target bkn ahok... agenda utama lengserkan Jokowi ..,jangan salah target bukan ahok... agenda utama lengserkan jokowi ..,negative
USER USER masa baru kena hestek aja udah kepanasan ??? Kepo banget ; ; #2019GantiPresiden,pengguna pengguna masa baru kena tagar saja sudah kepanasan ??? ingin tahu banget ; ; #2019gantipresiden,negative
"Maju lu sini duit tapi kau goyang kaki tak buat pape , mana la duit nak maju kat kau bodo URL","maju kamu sini duit tapi kamu goyang kaki tak buat pape , mana lah duit nak maju kat kamu bodoh uniform resource locator",negative
"USER HKBP berdiri itu sejak pecahnya kristen khatolik pada zaman penjajahan belanda,dl tdk ada yg namanya kristen protestan yg ada cm kristen khatolik.\nTerjadilah perpecahan dan berdirilah HKBP yg prtama kali di tarutung.\n\nNah skrg anda sy k","pengguna huria kristen batak protestan berdiri itu sejak pecahnya kristen katolik pada zaman penjajahan belanda,dl tidak ada yang namanya kristen protestan yang ada cuma kristen khatolik. terjadilah perpecahan dan berdirilah huria kristen batak protestan yang pertama kali di tarutung. nah sekarang anda saya k",negative
"Ha .. ha .. Banyak baca biar pintar ... JEPANG, AMERIKA, CHINA... Utang sama siapa ... Anda tau enggak ..?","apa .. apa .. banyak baca biar pintar ... jepang, amerika, china... utang sama siapa ... anda tau tidak ..?",negative
Prabowo Sudah Kalah Menyebut Bantuan Jokowi Hanya Pencitraan Adalah Ratapan Pilu,prabowo sudah kalah menyebut bantuan jokowi hanya pencitraan adalah ratapan pilu,negative
USER USER dan yang takut dengan adzan adalah IBLIS',pengguna pengguna dan yang takut dengan azan adalah iblis',negative
USER USER Yg goblog itu adalah bani cebong tukang tipu penjilat penguasa yg ketahuan gerakin masa yg dibayar pakai nasi bungkus. Propaganda nasi bungkus memang selalu gagal.',pengguna pengguna yang goblok itu adalah bani cebong tukang tipu penjilat penguasa yang ketahuan gerakan masa yang dibayar pakai nasi bungkus. propaganda nasi bungkus memang selalu gagal.',negative
USER USER USER USER Wuih... cebong sewot...\n\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82',pengguna pengguna pengguna pengguna wuih... cebong sewot... ',negative
2. Gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,2. gerakan ini menekankan pentingnya kerja keras secara total untuk tingkatkan potensi bangsa,negative
Padahal gubernur saat ini Djarot. Mayoritas partai politik di DPRD juga pendukung Ahok Djarot. Payah ya mereka USER URL,padahal gubernur saat ini djarot. mayoritas partai politik di dewan perwakilan rakyat daerah juga pendukung ahok djarot. payah ya mereka pengguna uniform resource locator,negative
"USER rezim rusak bukan memperbaiki systeamnya malah sibuk cari2 kesalahan klu itu pasti ketemu aja, KPK alatnya, besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi, orangnya'","pengguna rezim rusak bukan memperbaiki sistemnya malah sibuk cari cari kesalahan kalau itu pasti ketemu aja, komisi pemberantasan korupsi alatnya, besok pemerintah berganti berulang kembali engah pernah selesai siapapun organisasi, orangnya'",negative
"Saat orang orang saling menuding antek aseng, aseng sesungguhnya bertepuk tangan.'","saat orang orang saling menuding antek aseng, asing sesungguhnya bertepuk tangan.'",negative
USER Nah loh katanya anti aseng',pengguna nah lah katanya anti aseng',negative
"Selamat Pak USER Semoga Bisa Terus Berkiprah, Bahkan Tingkat Nasional.","selamat pak pengguna semoga bisa terus berkiprah, bahkan tingkat nasional.",negative
#AsyikM3nang saya sih ikut ulama saja,#asyikm3nang saya sih ikut ulama saja,negative
USER Yang saya ketahui bahwa diketapang banyak tka asing yg berkerja di berbagai perusahaan. Termasuk pt who tambang bouksid yg viral saat pilpres dulu. \nDan bisa jadi ini karena kerja sama tsb terjadi di era gubernur cornelis dan wakilnya ora,pengguna yang saya ketahui bahwa diketapang banyak tenaga kerja asing asing yang bekerja di berbagai perusahaan. termasuk pt who tambang bauksit yang viral saat pemilihan presiden dulu. dan bisa jadi ini karena kerja sama tersebut terjadi di era gubernur cornelis dan wakilnya tidak,negative
USER Anak pecun... ga jauh2 dr hobi zina.. haha',pengguna anak pecun... tidak jauh jauh dari hobi zina.. haha',negative
USER QUE BOM SBBSNSN',pengguna aku bom sbbsnsn',negative
"USER Istirahat aja pak presiden momentum sudah berlalu, saya pernah jadi saksi telinga dan mata awal rapat pembentukan PD di Pacitan tahun 2003","pengguna istirahat saja pak presiden momentum sudah berlalu, saya pernah jadi saksi telinga dan mata awal rapat pembentukan pada di pacitan tahun 2003",negative
"Pada 1979, House Select Committee on Assassinations (HSCA) menemukan cacat investigasi yang dilakukan FBI dan Warren Commission. HSCA juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya.'","pada 1979, house select committee on assassination (hsca) menemukan cacat investigasi yang dilakukan fbi dan warren commission. hsca juga menyimpulkan ada empat tembakan yang dilakukan dan kemungkinan terdapat konspirasi di dalamnya.'",negative
"USER Tak terasa genap 1 tahun mendatang 17 April 2018 akan digelar Hajatan pilpres, acara tahunan Negara Indonesia untuk memilih Presiden. Semoga senantiasa berjalan aman dan lancar. Amin.","pengguna tak terasa genap 1 tahun mendatang 17 april 2018 akan digelar hajatan pilpres, acara tahunan negara indonesia untuk memilih presiden. semoga senantiasa berjalan aman dan lancar. amin.",negative
USER Ian pantat',pengguna ian pantat',negative
"USER USER Ngakunya org pintar dan beragama, emangnya agama mana yg memperbolehkan menista dan menghujat org lain???. Jgnkan orang bodoh, org yg ( maaf) sejak lahir idiot sekalipun dia, kita hrs hargain sebagai sesama ciptaan Tuhan. Ingat : iblis itu juga pintar dan sangat licik!!!'","pengguna pengguna mengakuinya orang pintar dan beragama, memangnya agama mana yang memperbolehkan menista dan menghujat orang lain???. jangankan orang bodoh, orang yang ( maaf) sejak lahir idiot sekalipun dia, kita harus hargai sebagai sesama ciptaan tuhan. ingat : iblis itu juga pintar dan sangat licik!!!'",negative
